ForLoop_prod_num_1,ForLoop_sum_num_1,ListUtil_prod_num_1,ListUtil_sum_num_1,OMP_prod_num_01,OMP_prod_num_02,OMP_prod_num_03,OMP_prod_num_04,OMP_prod_num_05,OMP_prod_num_06,OMP_prod_num_07,OMP_prod_num_08,OMP_sum_num_01,OMP_sum_num_02,OMP_sum_num_03,OMP_sum_num_04,OMP_sum_num_05,OMP_sum_num_06,OMP_sum_num_07,OMP_sum_num_08,StC_prod_num_1,StC_sum_num_1
0.337648,0.355061,0.139657,0.133662,0.072523,0.037582,0.027023,0.022063,0.020698,0.020420,0.019565,0.019035,0.066230,0.042006,0.024425,0.021127,0.018418,0.020590,0.018090,0.017633,0.076894,0.070461
0.357102,0.325845,0.170002,0.276311,0.076905,0.046651,0.027002,0.121698,0.130405,0.016903,0.021987,0.014967,0.087833,0.046175,0.030377,0.031876,0.045547,0.031733,0.020690,0.028656,0.080310,0.087310
0.376613,0.458939,0.292447,0.140549,0.091494,0.044331,0.088991,0.022472,0.017956,0.017609,0.014643,0.014534,0.115393,0.039249,0.027112,0.019783,0.023988,0.015891,0.014869,0.018969,0.065019,0.128568
0.368452,0.363498,0.228613,0.134382,0.070234,0.042550,0.054247,0.021889,0.020715,0.016574,0.015006,0.019344,0.070014,0.039783,0.029710,0.022836,0.020225,0.016744,0.040482,0.015981,0.069213,0.083592
0.356883,0.432897,0.183584,0.133446,0.100942,0.045993,0.048464,0.023996,0.021180,0.017633,0.015095,0.016378,0.070557,0.043063,0.026862,0.021530,0.019335,0.016912,0.018179,0.030482,0.064705,0.070631
0.379023,0.368255,0.156379,0.173728,0.067961,0.039169,0.027752,0.022454,0.018715,0.017030,0.033427,0.015147,0.070939,0.037739,0.026259,0.021116,0.019018,0.016502,0.015590,0.022227,0.069825,0.070202
0.343992,0.408433,0.151878,0.150620,0.065619,0.039142,0.026180,0.063974,0.018560,0.016675,0.016504,0.014950,0.066516,0.038107,0.027546,0.022768,0.017885,0.020776,0.016251,0.015383,0.064320,0.071049
0.340324,0.389965,0.136388,0.153198,0.069879,0.037139,0.050837,0.021606,0.018229,0.017624,0.015832,0.015285,0.072207,0.038756,0.034505,0.020896,0.024798,0.016854,0.016490,0.015257,0.070404,0.070357
0.332856,0.366417,0.165452,0.129581,0.070685,0.039854,0.026998,0.025596,0.018472,0.017725,0.016118,0.015251,0.070574,0.038440,0.027205,0.022084,0.018803,0.017291,0.016106,0.025247,0.102619,0.069895
0.324586,0.324657,0.132276,0.129479,0.064295,0.038091,0.027802,0.022228,0.018914,0.016591,0.015620,0.015482,0.064619,0.038479,0.029020,0.021465,0.018750,0.017006,0.016390,0.015376,0.072549,0.069274
0.349665,0.330395,0.114713,0.129917,0.064313,0.036305,0.027473,0.022106,0.018681,0.017504,0.015759,0.017765,0.064906,0.040534,0.026335,0.021001,0.020955,0.020049,0.016164,0.021119,0.063845,0.065647
0.342674,0.326096,0.132172,0.128656,0.075182,0.038266,0.026997,0.022054,0.032066,0.017317,0.015949,0.015407,0.064570,0.038949,0.026557,0.020820,0.018687,0.020680,0.015727,0.015224,0.064059,0.069189
0.331194,0.337178,0.174477,0.130400,0.077730,0.037866,0.027142,0.021230,0.018885,0.017326,0.015827,0.015632,0.106435,0.037967,0.027577,0.021863,0.018816,0.016563,0.015555,0.015126,0.070015,0.070757
